,UK,USA,France,Germany,Spain
hbp,60,50,64,59,59
cbp,200,65,72,72,72
References,https://support.dexma.com/hc/en-gb/articles/360007866374-Degree-Days-in-DEXMA,,https://support.dexma.com/hc/en-gb/articles/360007866374-Degree-Days-in-DEXMA,https://journals.ametsoc.org/view/journals/apme/53/2/jamc-d-13-0220.1.xml,https://support.dexma.com/hc/en-gb/articles/360007866374-Degree-Days-in-DEXMA
References,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwj7sf-y0or9AhUDaMAKHW7VD1IQFnoECAoQAQ&url=https%3A%2F%2Fwww.sustainabilityexchange.ac.uk%2Ffiles%2Fdegree_days_for_energy_management_carbon_trust.pdf&usg=AOvVaw0zETItvgGtlmDaLDiCnAEW,,https://rmets.onlinelibrary.wiley.com/doi/full/10.1002/joc.5362#joc5362-bib-0101,https://rmets.onlinelibrary.wiley.com/doi/full/10.1002/joc.5362#joc5362-bib-0101,https://rmets.onlinelibrary.wiley.com/doi/full/10.1002/joc.5362#joc5362-bib-0101
